flakkebjerg_id,vcf_name,accession_number,accession_name,data_code,flag,note,region,country,country_whole,yield,maturity_group,MG,seed_coat_colour
120,120A,NGB8152,1312-17-2-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl/G
121,121A,NGB8125,1308-1-7-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
122,122A,NGB8182,1361 ((Bråvalla x Träff) x Maple Arrow),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
123,123A,NGB8098,1308-1-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
124,124A,NGB8110,1312-17-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
125,125A,NGB8119,1301-14-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
126,126A,NGB8069,1287-3-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
127,127A,NGB8060,1285-32-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
128,128A,NGB8178,1353 (C 940-3-6 x Träff),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
129,129A,NGB8034,990 (201-8-31-9 x 843-11),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
130,130A,NGB8104,1310-2-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
131,131A,NGB8151,1312-17-2-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
132,132A,NGB8156,1312-17-3-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
133,133A,NGB8112,1312-21-9,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
134,134A,NGB8136,1310-2-3-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
135,135A,NGB8150,1312-17-1-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
136,136A,NGB8070,1287-14-3-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
137,137A,NGB8036,1218-4-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
